title,date
"‘5G’ SKT 수도권서 잘 터지고, LGU+ 속도 가장 빨라",20201101
"‘취향 맞춤’ 인테리어 가전, 상업용도 이젠 ‘형형색색’",20201101
"KT, ‘포토북’ 서비스 가입자 1만명 돌파 [포토뉴스]",20201101
"신선식품 온라인 유통, 과제는 ‘품질의 디지털화’ [친절한 식품 이야기]",20201101
[포토] 한국 담원 게이밍 롤드컵 우승,20201101
"""故이건희 리더십 감명"" 저커버그, '동문' 이재용에 위로 메일 썼다",20201101
"[SNS에세이]참을 수 없는 가벼움, 악플에 멍든 '틱톡'",20201101
"애플, 불량 `에어팟 프로` 리콜…""노이즈 캔슬링 미작동""",20201101
"애플, 음질문제 있는 ‘에어팟 프로’ 리콜",20201101
"애플, '잡음 문제' 에어팟 프로 리콜",20201101
"애플, 음질문제 불거진 에어팟 프로 리콜 시작",20201101
세계 암환자 살려낸 '불멸의 암세포'…70년만에 보상받는다,20201101
"애플, 잡음나는 에어팟 프로 리콜",20201101
“왜  우리 집만 속터지게 느려 ㅠㅠ”  넷플릭스 속도로 통신사 길들이기? [IT선빵!],20201101
[블로터언팩]'웨어러블'이 가야 할 길은...'삼성 갤럭시 핏2',20201101
"`코로나 방역 대변인` 김강립, 식약처장 발탁…""핵심 현안 성공해결 기대""",20201101
자영업 영업제한 최소화 … 거리두기 5단계로 나눈다,20201101
"""관광도 이젠 데이터 산업 시대로 기상+관광 맞춤 정보서비스 제공""",20201101
"""크라우드소싱·모바일 플랫폼 결합 AI 데이터 수집·가공 속도 높일것""",20201101
전력공급 유연성·낮은 전력자급률 강점… 2040년까지 발전량 비중 목표 30% 설정,20201101
[르포] 에너지기술연구원 제주글로벌연구센터 가보니,20201101
인공지능의 무한진화… 더 똑똑해진 `빅스비·시리` 나온다,20201101
"담원 `롤드컵` 우승 … 한국팀, 3년만에 왕좌 탈환",20201101
"5G, 가장 잘 터진 SKT… 가장 빠른 LGU+",20201101
"SKB ""망사용료 내라"" vs 넷플릭스 ""낼 의무없다""",20201101
"QR체크인, 앱 대신 전화로 인증하세요",20201101
"언택트 날개단 게임, 3분기도 끝내줬다",20201101
역시 5G폰 메기… 첫날 10만 개통 `초대박`,20201101
"[사이언스온고지신]방사능 분석 오류, 숙련도시험으로 해결한다",20201101
"양성일 신임 복지부 1차관…""복지분야 전문성, 업무추진력 뛰어나""",20201101
中 사스 퇴치 영웅 “전세계와 달리 중국은 코로나 2차 유행 없을 것”,20201101
민병찬 신임 국립중앙박물관장···불교미술 전문가,20201101
"네이버, PC 검색도 ‘모바일’처럼… 동일한 검색 결과 UI 제공",20201101
KT 포토북 가입자 1만명 돌파,20201101
"다시 5단계로 나눈 사회적 거리두기, 어떻게 바뀌어왔나",20201101
LGU+ '우리 집 지킴이 Easy' 지원,20201101
"[기고] 코로나 위기, 중소·중견기업 성장 기회로",20201101
거리두기 5단계로 세분화…23종 중점·일반관리시설 방역수칙 의무화(종합),20201101
"이도헌 KAIST 교수, 과학기술자문회의 심의위원 위촉",20201101
품질 고집하던 애플에 무슨 일이...잇단 결함으로 '도마'에,20201101
"샤페론, 염증 억제 신물질로 신약 개발",20201101
제로엑스플로우·올라핀테크…디캠프 '디데이' 공동 우승,20201101
"보안 삼총사 ""스마트공장은 우리가 지킨다""",20201101
"[사설]사라지는 산업경계, 긴밀한 준비 필요하다.",20201101
카드소비X이동동선=가치↑…결합 데이터 거래 늘어난다,20201101
"""어이 심사역, 태도가 왜 이래?""…VC 리뷰 사이트에 투자업계 '긴장'",20201101
"""가게 홍보물 앱으로 간편하게 제작""",20201101
"KT, 우크라이나 에너지 효율화 나선다",20201101
"전태양, 시즌 두번째 GSL 우승…‘숙적’ 조성주에 4-2",20201101
"""딱딱 소리 난다"" 지적 받았던 '에어팟프로' 결국 리콜, 대상 제품은?",20201101
"포스코ICT ""장애인 인식개선 지원"" 유튜브 콘텐츠 공모전 시상식 개최",20201101
"스토리텔, 명상·수면 등 오디오 콘텐츠 확대",20201101
회사 이름도 바꾼다…'탈통신' 속도내는 이동통신사들,20201101
"""5G 통신 보안, 보편적 신뢰체계 구축이 먼저""",20201101
KT 포토북 가입자 1만명 돌파,20201101
"국내 연구진, 무결점 그래핀 만드는 새 박리법 개발",20201101
SKT '언택트 여행 이벤트' 공개,20201101
화웨이 '마이웨이' 안간힘···美기술없이 상하이 새 공장 검토,20201101
"SKT, 제11회 한국경영과학응용대상 수상…“고객만족도 제고 노력 인정”",20201101
췌장암 치료제 내년초 시판 기대…별도 美임상후 기술수출도 타진,20201101
제2의 전기차 시대 진입 '눈앞',20201101
삼성카드도 가세...'마이데이터 선점' 사활,20201101
애플 `에어팟프로` 리콜,20201101
"마플 ""클릭 몇번에 디자인부터 제작 발송 입금까지""",20201101
