title,date
"‘에픽세븐’, 길티기어 콜라보 재실시…신규 영웅 밸런타인 예고",20200501
"에픽게임즈스토어, ‘암네시아’·‘크래시랜드’ 무료 제공",20200501
"‘어쌔신크리드 발할라’, 연말 전세계 출시…차세대 콘솔 버전도 확정",20200501
"베스파, 모바일 RPG ‘킹스레이드’ 애니메이션 PV 영상 공개",20200501
동영상기사,20200501
정부 용역보고서 보니…“사라지는 일자리 700만 개”,20200501
동영상기사,20200501
‘한국판 뉴딜’의 딜레마…사라지는 노동 어떻게?,20200501
삼성디스플레이 아산 공장서 화재...인명피해 없어,20200501
정보통신정책연구원(KISDI) 13대 원장에 권호열 강원대 교수,20200501
"이통3사, 갤럭시S20 공시지원금 최대 35만원 이상 대폭 상향",20200501
"이통 3사, 삼성전자 갤럭시 S20 공시지원금↑…최대 50만원",20200501
NASA '달 착륙선' 사업자로 스페이스X 등 3곳과 계약,20200501
"""야구, 집에서 직관하세요"" SK텔레콤, '5GX 직관야구' 서비스 도입",20200501
"국토부, “건축물 화재안전 성능 강화 검토”",20200501
LG전자 등 공동 연구로 ‘OLED 성능 향상 증착장비’ 개발,20200501
[기고] 코로나19를 대하는 한국과 일본…왜 다른가 보니,20200501
네팔 눈사태 실종 韓 교사 4명 시신 모두 수습,20200501
"문체부, ‘게임산업 진흥 종합계획’ 7일 발표 예고",20200501
"프로축구연맹, K리그 ‘코로나19 대응 매뉴얼’ 제작",20200501
"노동절에 배달라이더들 만난 박원순 ""보호장치 만들 것""",20200501
콧대높은 BMW·제과1위 롯데도…e스포츠 인기에 올라탔다,20200501
"정부, 日 방역물품 지원 “필요 시 협력할 것”",20200501
국산게임 배그·카트라이더…`e스포츠 월드컵` 무대 도전장,20200501
"이동통신 3사 ""5G시대 킬러 콘텐츠는 e스포츠""",20200501
집콕 시대…e스포츠는 최대 호황,20200501
[인사]고용노동부,20200501
"LG, 스마트폰 매출 1조 무너져…야심작 '벨벳'이 구원투수 될까",20200501
삼성 '중저가 5G-첨단 폴더블'로 반격 준비,20200501
"LG가전, 1분기 매출·이익 美월풀 제치고 세계 1위 재탈환",20200501
현대차 벨로스터 N 자동변속기 효과?…5일 만에 두 달치 판매,20200501
"현대차 8세대 쏘나타, 美 안전도 평가서 '최고 등급'",20200501
"르노삼성·한국GM, ""코로나19 의료인에 할인""",20200501
"GS25, 애니메이션 '트롤' 제휴 상품 출시",20200501
"LG 생활가전, 2년 연속 1분기 월풀 제치고 세계 1위",20200501
"체로키, 그랜드 체로키 모두 최대 20% 할인",20200501
"포르쉐 AG, 주펜하우젠, 라이프치히 공장에서 제품 생산 재개",20200501
"강기정 정무수석, “개헌 전혀 생각하지 않고 있다”",20200501
"美·日, 유턴기업에 보조금 풀며 환영…""공장 철수 땐 中 경기침체 시간 문제""",20200501
공중에 둥둥 뜬 액체 결정체서 혁신 신소재 개발 단서 찾는다,20200501
[Science] 반도체 소재도 신종플루 치료제도…`빛의 공장` 덕에 빛 봤다,20200501
롤 세계관 카드게임 'LoR'도 왕좌 오를까,20200501
[박상익의 건강노트] 눈칫밥 먹게 만드는 '역류성 식도염',20200501
사회적 거리두기는 어디로?···‘황금연휴’에 여행 앱 반짝 특수,20200501
"이통3사, 갤럭시S20 공시지원금 일제히 상향",20200501
[아하! 우주] 다른 별에서 온 손님?…태양계 미스터리 천체 켄타우로스의 비밀,20200501
"LG전자, 올 1분기 세계 1위 가전업체 탈환",20200501
"베스파, '킹스레이드' IP TV 애니메이션 첫 공개",20200501
스마트폰 시장 코로나19 타격…'리지드 OLED' 수요 감소 불가피,20200501
"지성호 당선인 “지난 주말 김정은 사망, 99% 확신”",20200501
"""지난달 마지막 주말 T맵 길안내 요청 2470만 건…예년수준 회복""",20200501
中 팔리고 美 안팔린다…스마트폰 시장 온도차 뚜렷,20200501
"배달의민족, 오늘부터 기존 요금제로 복귀..수수료 중심 새요금제 철회",20200501
“코로나19 감염 모른 채 회복사례 상당수 있을 것”,20200501
인터넷주소관리기구 '.org' 관리권 민간 매각에 제동,20200501
"인천시교육청, 다문화가정 학생 원격수업에 통·번역 지원",20200501
"최기영 과기정통부 장관, G20 디지털경제 장관회의 ""코로나19 극복 디지털정책 공유""",20200501
"매일신문·부산일보·강원일보, '구글 뉴스 이니셔티브' 펀딩 선정",20200501
"정부, 싱가포르·캐나다·호주·뉴질랜드와 필수인력 이동·교역 원활화 합의",20200501
"“내비야, 쇼핑몰 안내해 줘” 나들이옷 갈아입은 코로나 블루",20200501
"카카오페이, 日 페이페이 가맹점서도 결제 가능해졌다",20200501
한·미·일 특허낸 UST 졸업생 사연...'아파트 수직증축' 활용 가능,20200501
"새로운 `롤`이 온다…라이엇게임즈, `레전드 오브 룬테라` 출시",20200501
"유비케어, 전략기획 총괄 임원으로 김인채 상무 선임",20200501
LCK 마지막 승강전 종료…샌드박스 잔류·다이나믹스 합류,20200501
"삼성 스마트폰, 여전히 1위 했지만…판매량 8년만에 '최저'",20200501
"에픽세븐, '길티기어'와 컬래버레이션 재진행",20200501
[생활속과학]바닐라 없는' 바닐라라테?…한 잔 속 달콤한 과학,20200501
랩지노믹스 국내 업체 중 다섯번째로 FDA 승인,20200501
코로나19로 전세계 스마트폰 출하 17% 감소…“1위는 역시 삼성전자”,20200501
[김대영의 무기 인사이드] 최첨단 공중조기경보통제기 글로벌 아이 UAE군에 인도,20200501
"[사이언스 브런치] 코로나19 젊은 환자에게 더 심각한 이유, 알고보니...",20200501
"라이엇 게임즈, 카드게임 ‘레전드 오브 룬테라’ 정식 출시",20200501
지리산서 등산객 구조 중 소방헬기 추락,20200501
라이엇 게임즈 카드게임 '레전드 오브 룬테라' 출시,20200501
월마트도 2시간 내 배송 '익스프레스 딜리버리' 시작,20200501
불법체류자 코로나19 무료 검사·치료... 단속도 유예,20200501
'다섯번째 크기' 달 운석 경매에…시초가 30억원,20200501
"""1분기 전 세계 스마트폰 17% 감소…삼성은 여전히 1위""",20200501
"어쌔신크리드 신작, 어쌔신크리드 발할라 올해 말 출시",20200501
"급식용 김치 모바일 판매… 농식품부, 납품업체 지원",20200501
"쿠팡, 경북지역 상품 모은 기획전 진행",20200501
"배달의민족, 오늘부터 기존 요금체제로 복귀",20200501
"인텔, 데스크톱용 10세대 코어 프로세서 5월 하순 출시",20200501
"배달의민족 ""오늘부터 다시 울트라콜""…기존 수수료 체계 복원",20200501
“영유아들 오세요”,20200501
코로나19 팬데믹 속 韓 포함한 5개국 필수인력 이동 허용,20200501
"배달의민족, 이전 요금체계로 복원 완료…""초심으로 돌아가겠다""",20200501
[부고] 김경만 씨(펄어비스 최고사업책임자) 모친상,20200501
"‘판매부진’ 갤럭시S20, 통신사 공시지원금 대폭 올려",20200501
삼성 갤S20 판매 부진…이통사 공시지원금 최대 35만원 ↑,20200501
"한류가 된 Dalgona(달고나) 커피, 구글 검색량 보니",20200501
[부고] 이정헌(넥슨코리아 대표)씨 조모상,20200501
원격수업에 '바바리맨' 등장…처벌은?,20200501
"LG 생활가전, 세계 1위 월풀 제쳤다",20200501
삼성 갤S20 판매 부진에 공시지원금 최대 35만원 인상,20200501
[우주를 보다] 6000년 만에 찾아와 산산조각난 아틀라스 혜성 포착,20200501
[n번방 재발 방지①] 익명성 그늘 아래 범죄 온상 된 사이버 공간,20200501
"베이조스·머스크, 억만장자들의 '우주전쟁'",20200501
박원주 특허청장 “코로나19 치료제 관련 특허 적극 활용해야”,20200501
우주에서 본 최고의 지구 풍경 1·2위는?,20200501
"길리어드 ""렘데시비르 생산, 연말 100만개로 늘릴 것""",20200501
"빌 게이츠 ""9개월 내 코로나 백신 볼 수 있을 것""",20200501
[올쇼TV]SK인포섹·율촌 11일 '가명정보의 안전한 활용을 위한 데이터3법 완벽 해부',20200501
코로나에 스마트폰 시장 17% 줄어도 삼성은 여전히 1위,20200501
"""갤럭시20 사면 최대 50만원"" 지원금 또 터졌다",20200501
"아이폰11PRO, 아이폰XR 잇따른 가격인하 소식",20200501
"'LG 벨벳' 실물사진 유출자 ""갤노트9와 비슷""",20200501
"SKT, '5GX 직관야구'…12개 시점 멀티뷰 서비스",20200501
"‘방역 사각지대’ 놓인 불법체류자, 코로나19 진단·치료 지원",20200501
"'무관중 프로야구' 개막…SKT, 웨이브로 생중계",20200501
[종합]코로나19 사태에도 클라우드는 웃었다,20200501
"KISTEP ""감염병 대응 R&D 체계 구축해야""",20200501
코로나에 기세 꺾인 아이폰…애플 1Q 영업익 전년比 4.2%↓,20200501
"판교 ICT업계는 지금...""새 보금자리 찾는 중""",20200501
애플 “올해 2분기 매출 583억달러” 선방,20200501
“5G로 야구 보자”,20200501
"[종합] 코로나 쇼크, 4월 수출 24.3%↓…99개월 만에 무역수지 적자",20200501
"[토픽]해외게임통신 260호, ""신작 '어쌔신 크리드' 주인공은 바이킹""",20200501
"라이엇 “‘레전드오브룬테라’, LoL처럼 열정적으로 개발…기대해달라”",20200501
"라이엇게임즈, 전략카드게임 ‘레전드오브룬테라’ 정식 출시",20200501
[부고] 김경만 펄어비스 CBO 모친상,20200501
