title,date
갤럭시Z폴드2 톰브라운 에디션,20200901
베일 벗은 갤럭시Z폴드2,20200901
삼성전자 갤럭시Z폴드2 공개,20200901
삼성전자 차세대 주력 스마트폰 갤럭시Z폴드2 공개,20200901
삼성 차세대 주력 스마트폰 갤럭시Z폴드2 공개,20200901
갤럭시Z폴드2 공개한 삼성,20200901
갤럭시Z폴드2 공개 '스마트폰 시장 변화는?',20200901
"갤럭시Z폴드2, 화면 키우고 멀티태스킹 강화…가격은 그대로(종합)",20200901
"삼성 갤럭시Z 폴드2, 베일 벗었다… 239만8000원",20200901
"[삼성 언팩 파트2] 독기품은 ‘갤럭시Z폴드2·노트20’, 3Q 출격",20200901
삼성전자 '갤럭시Z폴드2' 온라인으로 공개,20200901
삼성전자 '갤럭시Z폴드2' 온라인으로 공개,20200901
삼성전자 '갤럭시Z폴드2' 온라인으로 공개,20200901
'삼성 갤럭시Z폴드2' 온라인 공개,20200901
'삼성 갤럭시Z폴드2' 온라인 공개,20200901
더 크고 강해진 '갤럭시Z폴드2'…폴더블폰 1위 굳힌다,20200901
베일 벗은 삼성 갤럭시Z폴드2,20200901
"삼성전자, 미스틱브론즈 색상 적용 갤럭시 Z 플립 5G 공개",20200901
더 커진 갤럭시Z폴드2 온라인서 공개…가격 239만8000원,20200901
삼성 갤럭시 Z 폴드2 톰브라운 에디션 공개,20200901
삼성 갤럭시 Z 폴드2 톰브라운 에디션 공개,20200901
삼성 갤럭시 Z 폴드2 톰브라운 에디션 공개,20200901
"삼성전자, 갤럭시 Z 플립 5G 공개",20200901
"삼성전자, 갤럭시 Z 폴드2와 플립 5G 공개",20200901
삼성 '갤럭시 Z 폴드2' 공개,20200901
"삼성전자, 온라인으로 '갤럭시 Z 폴드2' 공개",20200901
삼성 '갤럭시 Z 폴드2' 공개,20200901
삼성 '갤럭시 Z 폴드2' 공개,20200901
삼성 '갤럭시 Z 폴드2' 공개,20200901
온라인으로 공개된 삼성전자 갤럭시 Z 폴드2,20200901
온라인으로 공개된 삼성전자 갤럭시 Z 폴드2,20200901
온라인으로 공개된 삼성전자 갤럭시 Z 폴드2,20200901
'삼성 갤럭시Z폴드2' 온라인 공개,20200901
재단장한 `갤럭시 Z 플립 5G` 미스틱 색상으로 선보여,20200901
"타이달스케일, ETRI와 ‘SW 정의 서버’ 기술 협력",20200901
"카페24-페이스북, 이커머스 성공전략 웨비나 성료",20200901
화제의 삼성전자 `갤럭시 Z 폴드2 톰브라운 에디션` 보니,20200901
베일 벗은 ‘갤럭시Z폴드2’…화면이 더 넓어졌다,20200901
'삼성 갤럭시Z폴드2' 공개,20200901
'삼성 갤럭시Z폴드2' 공개,20200901
"[삼성 갤럭시 언팩2] 갤Z폴드2, 9월 18일 출시…239만8000원",20200901
"삼성전자, 3번째 폴더블폰 `갤럭시 Z 폴드2` 출시…폴더블폰 강자 노린다",20200901
"세개의 앱이 동시에...갤럭시 Z폴드2, 가격은?",20200901
폴더블·듀얼스크린의 공습…모토롤라·MS도 이달 출격,20200901
"갤폴드2, 크고 얇고 견고해졌다…커버도 6.2인치 풀스크린",20200901
베일 벗은 ‘갤폴드2’... 크고 얇고 단단해졌는데 가격은 그대로,20200901
"갤Z플립 5G, 미스틱 색상 출시…165만원",20200901
"갤Z폴드2 톰브라운 에디션, 7일부터 한정 판매…396만원",20200901
"[이슈분석]갤럭시Z 폴드2, 폴더블 '미래' 펼쳤다",20200901
삼성 '갤럭시Z 폴드2' 18일 공식 출시...239만8000원,20200901
폰·태블릿·노트북까지…더 강력해진 ‘갤럭시Z폴드2’,20200901
[이슈분석]폼팩터 경쟁 가속...LG전자·MS는 듀얼 스크린,20200901
